id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2025-03-29,84359.46915506005,1673182800974.1038,31674486232.097313,126080.0,67.81,84359.46915506005,84359.46915506005,84359.46915506005,84359.46915506005
bitcoin,2025-03-30,82679.17255385047,1640665503855.1438,16837439419.924389,126080.0,67.81,82679.17255385047,82679.17255385047,82679.17255385047,82679.17255385047
bitcoin,2025-03-31,82356.38111183756,1633996304187.2593,13428975108.070734,126080.0,67.81,82356.38111183756,82356.38111183756,82356.38111183756,82356.38111183756
bitcoin,2025-04-01,82514.09365397849,1635076581047.3545,30326148749.91535,126080.0,67.81,82514.09365397849,82514.09365397849,82514.09365397849,82514.09365397849
bitcoin,2025-04-02,85237.5876052852,1690602036035.04,29172899851.734768,126080.0,67.81,85237.5876052852,85237.5876052852,85237.5876052852,85237.5876052852
bitcoin,2025-04-03,82526.4221526433,1637358764747.381,46332905657.77597,126080.0,67.81,82526.4221526433,82526.4221526433,82526.4221526433,82526.4221526433
bitcoin,2025-04-04,83163.98757387721,1652537223074.958,36594464539.14662,126080.0,67.81,83163.98757387721,83163.98757387721,83163.98757387721,83163.98757387721
bitcoin,2025-04-05,83852.00765399594,1664234880198.049,35647289400.47406,126080.0,67.81,83852.00765399594,83852.00765399594,83852.00765399594,83852.00765399594
bitcoin,2025-04-06,83595.88550177493,1656020067997.187,14910400035.531416,126080.0,67.81,83595.88550177493,83595.88550177493,83595.88550177493,83595.88550177493
bitcoin,2025-04-07,78211.48358199988,1555325260787.2627,36140377231.68329,126080.0,67.81,78211.48358199988,78211.48358199988,78211.48358199988,78211.48358199988
bitcoin,2025-04-08,79179.29226757778,1581407565278.352,82909748172.59216,126080.0,67.81,79179.29226757778,79179.29226757778,79179.29226757778,79179.29226757778
bitcoin,2025-04-09,76329.090356324,1515042499757.3254,47812787635.22632,126080.0,67.81,76329.090356324,76329.090356324,76329.090356324,76329.090356324
bitcoin,2025-04-10,82622.17029546302,1640567909122.172,87408220482.11568,126080.0,67.81,82622.17029546302,82622.17029546302,82622.17029546302,82622.17029546302
bitcoin,2025-04-11,79596.35732250768,1580023209138.0547,41213520154.25157,126080.0,67.81,79596.35732250768,79596.35732250768,79596.35732250768,79596.35732250768
bitcoin,2025-04-12,83439.28818043756,1655868880454.1702,39813566443.76779,126080.0,67.81,83439.28818043756,83439.28818043756,83439.28818043756,83439.28818043756
bitcoin,2025-04-13,85305.09728392666,1693600655371.0874,22428929482.069122,126080.0,67.81,85305.09728392666,85305.09728392666,85305.09728392666,85305.09728392666
bitcoin,2025-04-14,83600.82010054543,1658923208081.8682,28731125717.934357,126080.0,67.81,83600.82010054543,83600.82010054543,83600.82010054543,83600.82010054543
bitcoin,2025-04-15,84523.4524914945,1677843510120.269,33155578229.343513,126080.0,67.81,84523.4524914945,84523.4524914945,84523.4524914945,84523.4524914945
bitcoin,2025-04-16,83656.49248858042,1660749023283.0562,25084671427.622566,126080.0,67.81,83656.49248858042,83656.49248858042,83656.49248858042,83656.49248858042
bitcoin,2025-04-17,84105.77942167096,1670497569762.047,26948109141.803364,126080.0,67.81,84105.77942167096,84105.77942167096,84105.77942167096,84105.77942167096
bitcoin,2025-04-18,84930.90857600998,1686226810049.1836,19323821375.14309,126080.0,67.81,84930.90857600998,84930.90857600998,84930.90857600998,84930.90857600998
bitcoin,2025-04-19,84433.75017215389,1676373197914.5117,9550691272.782005,126080.0,67.81,84433.75017215389,84433.75017215389,84433.75017215389,84433.75017215389
bitcoin,2025-04-20,85126.66244301842,1690090596771.3958,12635983530.804455,126080.0,67.81,85126.66244301842,85126.66244301842,85126.66244301842,85126.66244301842
bitcoin,2025-04-21,85073.16544858096,1689008667806.3804,12625843856.313684,126080.0,67.81,85073.16544858096,85073.16544858096,85073.16544858096,85073.16544858096
bitcoin,2025-04-22,87452.04699068287,1735703747771.06,40070025414.28289,126080.0,67.81,87452.04699068287,87452.04699068287,87452.04699068287,87452.04699068287
bitcoin,2025-04-23,93576.16588573981,1858587811717.8286,53841992235.36636,126080.0,67.81,93576.16588573981,93576.16588573981,93576.16588573981,93576.16588573981
bitcoin,2025-04-24,93605.45230873208,1858660302322.256,39901515879.65954,126080.0,67.81,93605.45230873208,93605.45230873208,93605.45230873208,93605.45230873208
bitcoin,2025-04-25,93872.81422867288,1864298110563.3408,30031246761.093452,126080.0,67.81,93872.81422867288,93872.81422867288,93872.81422867288,93872.81422867288
bitcoin,2025-04-26,94773.11200643536,1882121595175.8462,39336184715.04292,126080.0,67.81,94773.11200643536,94773.11200643536,94773.11200643536,94773.11200643536
bitcoin,2025-04-27,94644.06637120107,1879131951239.1846,15445392739.787264,126080.0,67.81,94644.06637120107,94644.06637120107,94644.06637120107,94644.06637120107
bitcoin,2025-04-28,93809.33781968223,1862772247122.064,15926259371.057959,126080.0,67.81,93809.33781968223,93809.33781968223,93809.33781968223,93809.33781968223
bitcoin,2025-04-29,95030.60645474444,1887067388174.3481,31913814736.53902,126080.0,67.81,95030.60645474444,95030.60645474444,95030.60645474444,95030.60645474444
bitcoin,2025-04-30,94256.35946318062,1870818389258.4038,25882629766.278946,126080.0,67.81,94256.35946318062,94256.35946318062,94256.35946318062,94256.35946318062
bitcoin,2025-05-01,94235.75331048167,1871350362569.0933,26541700309.366146,126080.0,67.81,94235.75331048167,94235.75331048167,94235.75331048167,94235.75331048167
bitcoin,2025-05-02,96426.94522273027,1914884389769.3945,30207566405.468834,126080.0,67.81,96426.94522273027,96426.94522273027,96426.94522273027,96426.94522273027
bitcoin,2025-05-03,96855.5681343944,1923251765866.1472,23276376191.483967,126080.0,67.81,96855.5681343944,96855.5681343944,96855.5681343944,96855.5681343944
bitcoin,2025-05-04,95922.86842404422,1904894886394.57,13797554863.642815,126080.0,67.81,95922.86842404422,95922.86842404422,95922.86842404422,95922.86842404422
bitcoin,2025-05-05,94326.62048529249,1872812442453.0322,14903122945.616686,126080.0,67.81,94326.62048529249,94326.62048529249,94326.62048529249,94326.62048529249
bitcoin,2025-05-06,94758.8237105546,1882511286487.958,24086456278.203846,126080.0,67.81,94758.8237105546,94758.8237105546,94758.8237105546,94758.8237105546
bitcoin,2025-05-07,96854.53198815876,1923643840814.599,23348052607.071873,126080.0,67.81,96854.53198815876,96854.53198815876,96854.53198815876,96854.53198815876
bitcoin,2025-05-08,97026.49376966801,1927134557858.269,64376174032.08048,126080.0,67.81,97026.49376966801,97026.49376966801,97026.49376966801,97026.49376966801
bitcoin,2025-05-09,103076.27555512934,2047883753852.6929,50020047720.65604,126080.0,67.81,103076.27555512934,103076.27555512934,103076.27555512934,103076.27555512934
bitcoin,2025-05-10,102962.54045692299,2045046445523.5242,40800894903.23446,126080.0,67.81,102962.54045692299,102962.54045692299,102962.54045692299,102962.54045692299
bitcoin,2025-05-11,104630.8792994166,2077132539531.3464,21558992540.042442,126080.0,67.81,104630.8792994166,104630.8792994166,104630.8792994166,104630.8792994166
bitcoin,2025-05-12,103994.061616746,2065659960471.3655,27389436049.454792,126080.0,67.81,103994.061616746,103994.061616746,103994.061616746,103994.061616746
bitcoin,2025-05-13,102876.8304286011,2044347271866.1707,43090605819.36596,126080.0,67.81,102876.8304286011,102876.8304286011,102876.8304286011,102876.8304286011
bitcoin,2025-05-14,104184.49039270742,2069356072124.024,33861432519.50822,126080.0,67.81,104184.49039270742,104184.49039270742,104184.49039270742,104184.49039270742
bitcoin,2025-05-15,103594.42575090709,2057798367292.5637,28398245846.798244,126080.0,67.81,103594.42575090709,103594.42575090709,103594.42575090709,103594.42575090709
bitcoin,2025-05-16,103708.85136423641,2060142559914.034,31823340473.339912,126080.0,67.81,103708.85136423641,103708.85136423641,103708.85136423641,103708.85136423641
bitcoin,2025-05-17,103556.03493982446,2057725640290.0767,25887953182.14765,126080.0,67.81,103556.03493982446,103556.03493982446,103556.03493982446,103556.03493982446
